interval_frameComposited_VideoEncoded,interval_VideoReceivedByClient_VideoDecoded,interval_network,(client_stats.video_decoder_queue.as_secs_f32()*1000.).to_string(),(client_stats.rendering.as_secs_f32()*1000.).to_string(),(client_stats.vsync_queue.as_secs_f32()*1000.).to_string(),interval_total_pipeline,target_bitrate,plr,bitrate_statistics,total_packets_send,average_packet_size,shard_loss_rate,client_stats.bytes_count.to_string(),frame_send_timestamp,first_packet_arrive,last_packet_arrive,frame_arrive_timestamp,total_size_for_this_frame,total_packets_for_this_frame,timestamp_delta_string,arrival_time_delta_ms_string,packet_size_delta_string,network_estimate,threshold_c,m_trend,target_bitrate_bps_inrtc,current_state,next_state,bitrate_pass_to_webrtc,difference.to_string(),last_decrease,link_lower,link_upper,link_has_estimate,link_estimate,link_devia,test_thr,input_thr,bitrate_estimate_rtc.to_string(),gradient_c.to_string(),delta.to_string(),self.state.to_string(),frame.target_timestamp.as_nanos().to_string(),client_stats.flag_debug.to_string(),client_stats.is_idr.to_string(),AIMD_MANGER.lock().normalize_delta.to_string(),experiment_target_timestamp
5.6138,3.068021,3.341019,12.056251,0.98385406,29.498499,59.573345,40,,,,,0,10774,1723190686104323,1712552971385504,1712552971385886,1712552971385909,10774,1,14.93,14.456,0,normal,6,0,40,hold,hold,0,0,0,0,inf,false,,0.4,0,60981248,60981248,0,62043.77777777778,1,11620872049203,0,false,1.704083251953125,20240809_160446
3.8144,4.0915103,3.078515,12.52375,0.647084,29.462456,59.61392,40,,,,,0,10249,1723190686116708,1712552971398355,1712552971398652,1712552971398675,10249,1,12.385,12.851,0,normal,6,0,40,hold,hold,0,0,0,0,inf,false,,0.4,0,60981248,60981248,0,62568.77777777778,1,11620886309906,0,false,1.7185028076171875,20240809_160446
4.2012,2.929687,3.152223,14.571771,0.66494805,29.464392,59.62512,40,,,,,0,10360,1723190686130081,1712552971411562,1712552971411634,1712552971411659,10360,1,13.373000000000001,13.207,0,normal,6,0,40,hold,hold,0,0,0,0,inf,false,,0.4,0,60981248,60981248,0,62457.77777777778,1,11620900541684,0,false,1.7154541015625,20240809_160446
3.6509,3.316719,8.620977,7.9698963,0.763125,29.274643,59.59256,40,,,,,0,2653,1723190686144305,1712552971431784,1712552971431833,1712552971431853,2653,1,14.224,20.222,0,normal,6,0,40,hold,hold,0,0,0,0,inf,false,,0.4,0,60981248,60981248,0,70164.77777777778,1,11620914743089,0,false,1.9271331787109376,20240809_160446
4.3462,2.87875,4.228825,14.266615,0.86349,29.043203,59.700184,40,,,,,0,11201,1723190686158039,1712552971439879,1712552971439988,1712552971440016,11201,1,13.734,8.095,0,normal,6,0,40,hold,hold,0,0,0,0,inf,false,,0.4,0,60981248,60981248,0,61616.77777777778,1,11620928839636,0,false,1.6923553466796875,20240809_160446
4.0230002,4.779792,4.531733,13.078802,0.641823,29.22204,59.59079,40,,,,,0,10731,1723190686171368,1712552971453093,1712552971453215,1712552971453234,10731,1,13.329,13.214,0,normal,6,0,40,hold,hold,0,0,0,0,inf,false,,0.4,0,60981248,60981248,0,62086.77777777778,1,11620943001483,0,false,1.7052642822265625,20240809_160446
4.1208997,4.8554173,10.598295,7.633125,0.812761,29.030624,59.64682,40,,,,,0,10843,1723190686185370,1712552971467723,1712552971472478,1712552971472514,10843,1,14.002,14.63,0,normal,6,0,40,hold,hold,0,0,0,0,inf,false,,0.4,0,38392116.21012907,38392116.21012907,0,61974.77777777778,1,11620957079002,0,false,1.7021881103515626,20240809_160446
4.0617,5.220469,5.989742,10.888489,0.737292,29.021284,59.386074,40,,,,,0,10411,1723190686199319,1712552971480758,1712552971482847,1712552971482866,10411,1,13.949,13.035,0,normal,6,-0.005165501023259047,40,hold,hold,0,0,0,0,inf,false,,0.4,0,42482943.31705045,42482943.31705045,6.069422361706713,62406.77777777778,2,11620971261000,0,false,1.7140533447265625,20240809_160446
4.0615,4.703021,4.28275,12.094791,0.79619795,28.873402,59.65866,40,0,,,,0,12378,1723190686213370,1712552971494849,1712552971496137,1712552971496155,12378,1,14.051,14.091000000000001,0,normal,6,-0.006013456531754115,40,hold,hold,0,0,0,0,inf,false,,0.4,0,47601470.853743754,47601470.853743754,6.395591966280115,60439.77777777778,2,11620985209295,0,false,1.660028076171875,20240809_160446
4.0024004,4.226354,3.3445249,13.936718,0.687813,28.899427,59.58094,40,,,,,0,7415,1723190686227268,1712552971508679,1712552971508739,1712552971508762,7415,1,13.898,13.83,0,normal,6,-0.009860383660609097,40,hold,hold,0,0,0,0,inf,false,,0.4,0,47601470.853743754,47601470.853743754,6.682752711668426,65402.77777777778,2,11620999280285,0,false,1.7963409423828125,20240809_160446
3.9857001,4.613177,6.186141,11.597552,0.695677,28.739132,59.61158,40,,,,,0,2624,1723190686241344,1712552971524706,1712552971524741,1712552971524756,2624,1,14.076,16.027,0,normal,6,-0.002677809141739742,40,hold,hold,0,0,0,0,inf,false,,0.4,0,47601470.853743754,47601470.853743754,6.925694086808488,70193.77777777778,2,11621013261151,0,false,1.9279296875,20240809_160446
3.9839,4.311197,3.361525,13.82948,1.245468,28.154243,59.596012,40,,,,,0,12491,1723190686254959,1712552971536643,1712552971536724,1712552971536751,12491,1,13.615,11.937,0,normal,6,0.0017715346473084418,40,hold,hold,0,0,0,0,inf,false,,0.4,0,47601470.853743754,47601470.853743754,7.157156236670417,60326.77777777778,2,11621027323182,0,false,1.6569244384765625,20240809_160446
3.9527001,5.027968,7.291559,12.600313,1.067396,28.269917,59.58705,40,,,,,0,10488,1723190686268765,1712552971551109,1712552971551185,1712552971551213,10488,1,13.806000000000001,14.466000000000001,0,normal,6,0.00676762490754529,40,hold,hold,0,0,0,0,inf,false,,0.4,0,47601470.853743754,47601470.853743754,7.3601116746792705,62329.77777777778,2,11621041305708,0,false,1.7119384765625,20240809_160446
3.9819,5.1005206,4.4702773,12.9425,1.3080211,27.946123,59.630344,40,,,,,0,12136,1723190686282453,1712552971564658,1712552971564738,1712552971564768,12136,1,13.688,13.549,0,normal,6,0.02753988579786258,40,hold,hold,0,0,0,0,inf,false,,0.4,0,47601470.853743754,47601470.853743754,7.540947414871151,60681.77777777778,2,11621055261979,0,false,1.6666748046875,20240809_160446
4.1391997,6.629584,2.9497619,11.601198,1.130416,28.381662,59.53942,40,,,,,0,12216,1723190686296650,1712552971578110,1712552971578186,1712552971578213,12216,1,14.197000000000001,13.452,0,normal,6,0.03460214277668812,40,hold,hold,0,0,0,0,inf,false,,0.4,0,47601470.853743754,47601470.853743754,7.706012628458079,60601.77777777778,2,11621069288058,0,false,1.6644775390625,20240809_160446
4.1374,6.264792,3.912402,10.560416,0.96026,28.642347,59.59662,40,,,,,0,13502,1723190686310870,1712552971592388,1712552971593386,1712552971593420,13502,1,14.22,14.278,0,normal,6,0.0393442975658194,40,hold,hold,0,0,0,0,inf,false,,0.4,0,50131842.57364934,50131842.57364934,7.844066956375103,59315.77777777778,2,11621083258114,0,false,1.629156494140625,20240809_160446
4.0744,5.276927,8.402324,8.948385,0.903386,28.812828,59.61585,40,,3.91384,26,9408,0,12621,1723190686324307,1712552971609652,1712552971609775,1712552971609794,12621,1,13.437000000000001,17.264,0,normal,6,0.07617483648785825,40,hold,hold,0,0,0,0,inf,false,,0.4,0,50131842.57364934,50131842.57364934,7.972538426892295,60196.77777777778,2,11621097188817,0,false,1.6533538818359375,20240809_160446
4.3461003,5.27,4.199127,12.530105,1.003803,28.736305,59.54464,40,,,,,0,8236,1723190686338416,1712552971619988,1712552971620057,1712552971620083,8236,1,14.109,10.336,0,normal,6,0.09228133897963214,40,hold,hold,0,0,0,0,inf,false,,0.4,0,58827938.817731336,58827938.817731336,8.086222332563796,64581.77777777778,2,11621111195093,0,false,1.77379150390625,20240809_160446
3.8224,5.199635,5.9839983,10.508801,0.897031,28.853235,59.579906,40,,,,,0,13611,1723190686352294,1712552971635929,1712552971636021,1712552971636053,13611,1,13.878,15.941,0,normal,6,0.1158720085877014,40,hold,hold,0,0,0,0,inf,false,,0.4,0,65182656.3276472,65182656.3276472,8.184865364557574,59206.77777777778,2,11621125107869,0,false,1.6261627197265625,20240809_160446
4.1597996,4.752708,4.045404,12.8125,0.97005194,28.933632,59.593994,40,,,,,0,14942,1723190686366268,1712552971647803,1712552971647893,1712552971647930,14942,1,13.974,11.874,0,normal,6,0.1180212118317942,40,hold,hold,0,0,0,0,inf,false,,0.4,0,65182656.3276472,65182656.3276472,8.262721751925785,57875.77777777778,2,11621139060810,0,false,1.589605712890625,20240809_160446
4.1082997,5.9298964,8.262714,7.785156,0.942969,29.008839,59.575974,40,,,,,0,16600,1723190686380299,1712552971665373,1712552971665597,1712552971665622,16600,1,14.031,17.57,0,normal,6,0.1403685099164808,40,hold,hold,0,0,0,0,inf,false,,0.4,0,65182656.3276472,65182656.3276472,8.315387265851884,56217.77777777778,2,11621153022990,0,false,1.5440673828125,20240809_160446
4.0806003,5.4630723,5.357236,10.095104,0.850937,29.203167,59.576916,40,,,,,0,17061,1723190686394321,1712552971677322,1712552971677427,1712552971677558,17061,1,14.022,11.949,0,normal,6,0.1545451083911462,40,hold,hold,0,0,0,0,inf,false,,0.4,0,65182656.3276472,65182656.3276472,8.366840424536054,55756.77777777778,2,11621166936881,0,false,1.5314056396484375,20240809_160446
4.5697,5.517656,10.546946,5.038282,0.80343705,29.400139,59.448162,40,,,,,0,18299,1723190686408347,1712552971689990,1712552971696235,1712552971696299,18299,1,14.026,12.668000000000001,0,normal,6,0.13639215121867374,40,hold,hold,0,0,0,0,inf,false,,0.4,0,54436623.17494804,54436623.17494804,8.409132322161556,54518.77777777778,2,11621180907903,0,false,1.4974029541015625,20240809_160446
4.2774,4.721563,4.980768,11.489219,1.120052,29.07189,59.52819,40,,,,,0,12866,1723190686421731,1712552971703255,1712552971704529,1712552971704549,12866,1,13.384,13.265,0,normal,6,0.18109243993540744,40,hold,hold,0,0,0,0,inf,false,,0.4,0,62333048.40771696,62333048.40771696,8.443154779492422,59951.77777777778,2,11621194875473,0,false,1.646624755859375,20240809_160446
